INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
202206,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,105.947,105.577,0.42,0.4,0.34
202206,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,107.157,106.997,0.84,0.64,0.68
202206,210111,WHITE SLICED LOAF BRANDED 750G,1,1,108.218,108.676,1.26,0.96,1.02
202206,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,109.071,109.305,0.84,0.76,0.68
202206,210114,CHILLED GARLIC BREAD,1,1,99.786,101.038,1.47,1.24,1.19
202206,210201,FLOUR-SELF-RAISING-1.5KG,1,1,115.614,118.241,0.42,0.2,0.34
202206,210204,DRY SPAGHETTI OR PASTA 500G,1,1,119.919,121.17,0.21,0.44,0.17
202206,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,101.77,102.408,0.48,0.32,0.36
202206,210212,BASMATI RICE 500G-1KG,1,1,104.959,104.655,0.42,0.44,0.34
202206,210213,BREAKFAST CEREAL 1,1,1,105.605,105.351,1.05,0.48,0.85
202206,210214,BREAKFAST CEREAL 2,1,1,108.139,106.321,1.89,0.84,1.53
202206,210215,CEREAL BAR,1,1,91.57,91.072,0.63,0.48,0.51
202206,210216,HOT OAT CEREAL,1,1,107.295,107.661,0.42,0.16,0.34
202206,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,100.444,99.438,0.21,0.08,0.17
202206,210218,"POPCORN, BAG, 10-30G",1,1,97.386,98.02,0.84,0.4,0.68
202206,210219,BREAKFAST CEREAL GLUTEN FREE,1,1,105.353,107.548,0.21,0.12,0.17
202206,210221,COUSCOUS PLAIN/FLAVOURED,1,1,103.263,103.085,0.21,0.04,0.17
202206,210301,CREAM CRACKERS PACK 200G-300G,1,1,109.554,106.286,0.84,0.7,0.68
202206,210302,PLAIN BISCUITS-200-300G,1,1,115.346,114.154,1.47,1.33,1.19
202206,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,103.822,104.661,1.26,1.19,1.02
202206,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,117.863,119.043,1.89,1.82,1.53
202206,210323,BISCUITS HALF CHOC 260-400G,1,1,110.677,108.704,1.05,0.91,0.85
202206,210324,CRUMPETS PACK 6-9 SPEC NUMBER,1,1,104.115,106.439,1.05,1.05,0.85
202206,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,103.753,103.567,0.6,1.04,0.48
202206,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,105.551,105.886,1.2,1.76,0.96
202206,210414,FROZEN BEEFBURGERS PACK OF 4,1,1,106.589,107.682,0.4,0.56,0.32
202206,210416,BEEF ROASTING JOINT PER KG,1,1,104.078,104.163,0.4,0.64,0.32
202206,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,1,106.801,106.875,0.8,0.45,0.64
202206,210507,HOME KILLED LAMB SHOULDER KG,1,1,107.309,107.386,1,0.55,0.8
202206,210703,HOME KILLED PORK-LOIN CHOPS KG,1,1,105.839,105.949,1,1,0.8
202206,210802,BACON-GAMMON-PER KG,1,1,103.062,103.431,0.4,0.19,0.32
202206,210808,BACON-BACK-PER KG,1,1,110.003,109.783,1.8,0.81,1.44
202206,210905,FRESH/CHILLED CHICKEN  PER KG,1,1,111.353,111.279,0.8,1.08,0.64
202206,210910,FRESH BONELESS CHICKEN BREAST,1,1,110.28,110.753,1.6,2.4,1.28
202206,210913,ROTISSERIE CHICKEN [WHOLE],1,1,114.558,114.917,0.2,0.16,0.16
202206,210914,FRESH TURKEY DICED/MIN PER KG,1,1,104.531,104.663,0.2,0.36,0.16
202206,211007,CANNED MEAT-STEWED STEAK,1,1,100.233,100.06,0.2,0.14,0.16
202206,211011,INDIVIDUAL MEAT PIE,1,1,106.871,107.145,0.8,0.98,0.64
202206,211014,SAUSAGES-PORK-PER KG,1,1,107.967,107.711,2,0.98,1.6
202206,211019,FROZ CHICKEN NUGGETS 220-600G,1,1,106.694,109.167,0.6,0.63,0.48
202206,211023,COOKED HAM PREPACKED SLICED,1,1,105.43,102.949,2.4,1.12,1.92
202206,211024,CONTINENTAL SLICED DELI MEAT,1,1,105.221,104.49,0.8,0.42,0.64
202206,211025,JOINT OV/READ GAM/POR 450-900G,1,1,101.461,101.286,0.2,0.21,0.16
202206,211026,CHICKEN KIEV 2 PACK 240-325G,1,1,116.36,117.945,0.6,0.63,0.48
202206,211027,H K LIVER PER KG STATE TYPE,1,1,107.254,106.714,0.2,0.07,0.16
202206,211029,COOKED MEAT TURKEY/CHICK SLICE,1,1,106.449,105.856,0.4,0.63,0.32
202206,211030,MEAT BASED SNACK PACK MAX 400G,1,1,104.025,103.893,0.6,0.84,0.48
202206,211031,COOKED HAM LOOSE PER 100G,1,1,104.809,103.204,0.8,0.35,0.64
202206,211101,FRESH WHITE FISH FILLETS KG,1,1,106.596,107.37,0.45,0.62,0.36
202206,211105,FRESH FISH-SALMON FILLETS-KG,1,1,112.574,111.871,0.7,0.96,0.56
202206,211106,FROZEN PRAWNS PER KG,1,1,100.841,100.826,1.25,0.42,1
202206,211207,"CANNED FISH, TUNA, 130G-200G",1,1,110.875,108.916,1.2,0.9,0.96
202206,211210,FROZEN FISH FINGERS 8-12 PK,1,1,102.757,103.505,1.1,0.86,0.88
202206,211211,FROZEN BREAD/BAT FISH 400-550G,1,1,110.948,110.055,0.3,0.24,0.24
202206,211305,SPREADABLE BUTTER,1,1,118.228,117.936,0.48,0.52,0.48
202206,211306,BUTTER 250G SPEC COO,1,1,115.598,115.412,0.42,0.48,0.42
202206,211407,MARGARINE/LOW FAT SPREAD-500G,1,1,96.938,97.701,1.2,1.08,1.2
202206,211408,OLIVE OIL - 500ML - 1 LITRE,1,1,115.62,115.459,0.69,0.72,0.69
202206,211409,"PEANUT BUTTER, JAR, 225-350G",1,1,100.81,101.202,0.21,0.2,0.21
202206,211501,CHEDDAR-HOME PRODUCED PER KG,1,1,113.993,114.615,1.68,2,1.4
202206,211506,"CHEESE SPREAD, 125g-200g TUB",1,1,116.084,116.346,0.6,0.72,0.5
202206,211509,HARD REGIONAL CHEESE PER KG,1,1,109.82,110.734,0.24,0.28,0.2
202206,211510,PARMESAN CHEESE-PER KG,1,1,102.546,102.741,0.36,0.48,0.3
202206,211511,SOFT CONTINENTAL CHEESE - KG,1,1,106.535,107.089,0.48,0.52,0.4
202206,211604,EGGS PER DOZEN OR 2 X 6 BOX,1,1,105.814,106.375,1.2,1,1
202206,211707,DELVD MILK SEMI-SKIMMED PER PT,1,0,105.523,105.523,0.12,0.12,0.1
202206,211709,SHOP MILK-WHOLE MILK-4PT/2LTR,1,1,111.141,111.833,0.72,0.45,0.6
202206,211710,MILK SEMI-PER 2 PINTS/1.136 L,1,1,116.695,116.518,2.4,1.77,2
202206,211713,"MILK FLAVOURED, 180-500MLS/GMS",1,1,106.791,106.875,0.24,0.24,0.2
202206,211714,NON-DAIRY MILK DRINK 900ML-1LT,1,1,110.611,110.424,0.24,0.42,0.2
202206,211807,"YOGHURT/FROMAGE 4-6PK, 45-125G",1,1,106.983,106.221,1.44,2.05,1.2
202206,211808,CHILLED POT DESSERT 125-200G,1,1,108.449,109.37,0.96,1.15,0.8
202206,211814,YOGHURT-SMALL INDIVIDUAL,1,1,109.796,109.263,0.6,0.95,0.5
202206,211815,FRESH DOUBLE CREAM 250ML-300ML,1,1,103.823,104.265,0.48,0.6,0.4
202206,211816,POWDERED BABY FORMULA 400-900G,1,1,106.958,107.325,0.24,0.25,0.2
202206,211901,TEA BAGS PKT OF 80 (230G-250G),1,1,106.394,106.097,0.36,0.62,0.36
202206,211904,TEA BAGS-2-PACKET OF 240,1,1,97.076,97.364,0.1,0.19,0.1
202206,211905,"FLAVRD TEA 15-20 BAGS, 30-40G",1,1,108.28,107.871,0.12,0.19,0.12
202206,212001,"FRUIT SQUASH, 750ML - 1.5LT",1,1,103.824,102.884,0.9,0.81,0.7
202206,212006,FRUIT JUICE NOT ORANGE 1L,1,1,99.708,98.949,0.54,0.54,0.42
202206,212008,LEMONADE-2 LITRE BOTTLE,1,1,113.371,113.658,0.18,0.18,0.14
202206,212010,MINERAL WATER STILL 1.5-2L,1,1,117.491,116.985,0.27,0.36,0.21
202206,212015,FIZZY ENERGY DRINK 250-500ML,1,1,105.273,106.443,1.26,1.17,0.98
202206,212016,FRESH/CHILL ORANGE JUICE 900ML,1,1,98.025,99.026,0.9,0.9,0.7
202206,212017,FIZZY BOTTLED DRINK 500ML,1,1,102.942,103.086,1.53,1.44,1.19
202206,212020,FRUIT DRINK BOTTLE 4-8 PACK,1,1,101.264,100.882,0.09,0.09,0.07
202206,212021,BOTTLE STILL WATER 500ML,1,1,109.369,106.328,0.27,0.45,0.21
202206,212022,MIXER DRINK BOTTLE 1L EG TONIC,1,1,102.268,103.87,0.63,0.63,0.49
202206,212023,COLA/FIZZY DRINK 330ML PK 4-8,1,1,101.786,101.167,0.36,0.36,0.28
202206,212024,FLAVOURED WATER BOTT 900ML-1.5,1,1,113.577,110.9,0.36,0.45,0.28
202206,212025,"COLA DRINK, REG,BOTTLE,1.25-2L",1,1,104.01,103.791,0.72,0.63,0.56
202206,212026,"COLA DRINK, DIET 1.25-2LTR",1,1,101.799,101.926,0.72,0.72,0.56
202206,212027,FRUIT/VEG SMOOTHIE,1,1,98.331,97.526,0.27,0.27,0.21
202206,212101,SUGAR -GRANULATED-WHITE-PER KG,1,1,104.337,101.726,0.48,0.6,0.36
202206,212106,JAR OF JAM-340-454G,1,1,103.493,104.035,0.72,1.02,0.54
202206,212107,HONEY JAR/BOTTLE 340G-454G,1,1,102.115,102.896,0.24,0.38,0.18
202206,212202,MINTS,1,1,101.405,101.489,0.12,0.14,0.09
202206,212211,CHOCOLATE 4,1,1,101.781,101.654,0.72,2.1,0.54
202206,212214,FRUIT PASTILLES 2,1,1,101.602,101.502,0.36,1.26,0.27
202206,212217,CHEWING/BUBBLE GUM-SINGLE PK,1,1,104.78,105.015,0.12,0.28,0.09
202206,212218,CARTON/BOX OF CHOCS 150-400GM,1,1,95.15,94.927,1.44,1.68,1.08
202206,212222,CHOCOLATE 10,1,1,97.181,96.712,1.92,2.24,1.44
202206,212223,BRAND CHOC SWEETS 90-185G BAG,1,1,101.131,102.506,0.84,0.98,0.63
202206,212224,"SWEETS, NOT CHOC, 150-250G BAG",1,1,96.669,97.25,0.48,1.54,0.36
202206,212225,CHOCOLATE LARGE BAR 100-200G,1,1,98.111,99.644,1.92,2.24,1.44
202206,212226,CHOCOLATE 12,1,1,100.997,101.001,0.48,1.4,0.36
202206,212228,MALTED CHOCOLATE SWEETS,1,1,102.423,102.809,0.12,0.14,0.09
202206,212309,POTATOES-NEW-PER KG,1,1,102.904,102.611,0.16,0.23,0.12
202206,212310,POTATOES- OLD WHITE PER KG,1,1,108.016,107.294,0.48,0.61,0.36
202206,212311,POTATOES- BAKING PR KG,1,1,95.603,95.246,0.16,0.16,0.12
202206,212402,POTATO CRISPS 25G-50G,1,1,100.891,100.982,0.8,0.56,0.6
202206,212404,POTATO CRISPS-MULTI-PACK,1,1,102.788,104.041,2.24,1.44,1.68
202206,212405,FROZEN CHIPS 900G-1.5KG,1,1,110.701,108.701,1.12,1.24,0.84
202206,212408,PREMIUM POTATO CRISPS/CHIPS,1,1,100.699,101.16,0.64,0.44,0.48
202206,212409,P'PARED MASHED POTATO 400-650G,1,1,102.031,101.049,0.32,0.32,0.24
202206,212504,FRESH VEG-CAULIFLOWER-EACH,1,1,105.367,105.012,0.48,0.49,0.36
202206,212510,FRESH VEG-CUCUMBER-WHOLE,1,1,105.776,106.182,0.32,0.35,0.24
202206,212511,FRESH VEG-LETTUCE-ICEBERG-EACH,1,1,109.066,110.097,0.32,0.35,0.24
202206,212515,FRESH VEG-TOMATOES-PER KG,1,1,104.753,105.451,1.12,1.12,0.84
202206,212516,FRESH VEG-CABBAGE-WHOLE-PER KG,1,1,106.668,106.456,0.32,0.28,0.24
202206,212518,FRESH VEG-CARROTS-PER KG,1,1,101.205,100.769,0.32,0.35,0.24
202206,212519,FRESH VEG-ONIONS-PER KG,1,1,102.51,102.199,0.64,0.7,0.48
202206,212520,FRESH VEG-MUSHROOMS-PER KG,1,1,100.336,100.474,0.64,0.63,0.48
202206,212527,PRE-PACKED SALAD 100-250G,1,1,102.719,102.614,0.48,0.49,0.36
202206,212530,FRESH VEG-BROCCOLI-PER KG,1,1,102.41,103.668,0.32,0.35,0.24
202206,212531,FRESH VEG-COURGETTE-PER KG,1,1,98.323,98.874,0.48,0.49,0.36
202206,212532,FRESH VEG-PEPPERS -LOOSE OR KG,1,1,104.463,106.048,0.48,0.49,0.36
202206,212533,VEGETABLE STIR FRY FRESH PACK,1,1,103.734,103.525,0.32,0.42,0.24
202206,212535,SWEET POTATO PER KG OR EACH,1,1,100.367,100.558,0.32,0.49,0.24
202206,212601,CANNED TOMATOES 390-400G,1,1,96.24,98.334,0.32,0.38,0.24
202206,212603,"BAKED BEANS, 400-425G TIN",1,1,113.035,111.905,0.32,0.46,0.24
202206,212608,CANNED SWEETCORN 198-340G,1,1,104.41,104.048,0.16,0.28,0.12
202206,212609,FROZEN GARDEN PEAS 800G-1KG,1,1,106.164,108.395,0.16,0.26,0.12
202206,212612,FROZEN PRE-PREPARED VEGTABLES,1,1,104.439,106.379,0.32,0.32,0.24
202206,212613,PULSES CAN 390 - 420G,1,1,105.363,109.757,0.32,0.3,0.24
202206,212709,ORANGES-CLASS 1-EACH,1,1,98.302,97.976,0.44,0.4,0.36
202206,212710,AVOCADO PEAR-EACH,1,1,99.42,100.427,0.55,0.48,0.45
202206,212712,KIWI FRUIT-EACH,1,1,105.659,107.258,0.22,0.16,0.18
202206,212715,GRAPEFRUIT-EACH,1,1,102.111,103.091,0.22,0.24,0.18
202206,212716,APPLES-COOKING-PER KG,1,1,103.828,103.591,0.22,0.16,0.18
202206,212717,APPLES-DESSERT-PER KG,1,1,99.46,99.734,0.77,0.72,0.63
202206,212718,PEARS-DESSERT-PER KG,1,1,102.247,102.174,0.22,0.24,0.18
202206,212719,BANANAS-PER KG,1,1,103.609,103.697,0.99,0.88,0.81
202206,212720,STRAWBERRIES PER KG OR PUNNET,1,1,74.916,73.549,1.1,0.96,0.9
202206,212722,GRAPES-PER KG,1,1,101.877,101.854,0.77,0.72,0.63
202206,212725,SMALL TYPE ORANGES PER PACK/KG,1,1,101.972,102.781,0.33,0.24,0.27
202206,212726,PLUMS PER KG/PACK,1,1,108.4,106.173,0.66,0.56,0.54
202206,212728,PINEAPPLE EACH,1,1,104.181,105.778,0.22,0.24,0.18
202206,212730,FRUIT FRESH SNACKING 150-350G,1,1,108.177,106.416,0.44,0.4,0.36
202206,212731,MELON EACH EG HONEYDEW,1,1,112.904,116.702,0.22,0.24,0.18
202206,212732,LEMON EACH,1,1,101.351,101.718,0.22,0.24,0.18
202206,212733,BLUEBERRIES PUNNET OR PER KG,1,1,104.268,104.681,0.66,0.64,0.54
202206,212734,RASPBERRIES PUNNET OR PER KG,1,1,99.026,99.843,0.55,0.48,0.45
202206,212806,PACKET OF PEANUTS 150-300G,1,1,99.542,99.899,1.32,1.28,1.08
202206,212807,CANNED FRUIT-400-450G,1,1,107.663,105.985,0.44,0.28,0.36
202206,212808,DRIED FRUIT - EG APRICOTS,1,1,100.303,102.365,0.44,0.44,0.36
202206,212905,VEGETABLE PICKLE 280-520G,1,1,101.492,101.12,0.16,0.15,0.12
202206,212910,CANNED SOUP-390-425G,1,1,115.573,114.607,0.45,0.6,0.36
202206,212917,TOMATO KETCHUP BOTTLE 340-570G,1,1,99.227,100.434,0.6,0.9,0.48
202206,212918,FRZN READY-COOKD MEAL SERVES 1,1,1,106.123,106.776,0.25,0.6,0.2
202206,212923,COOK-IN SAUCE-JAR/CAN 350-520G,1,1,103.852,104.093,0.95,1.5,0.76
202206,212928,FROZ VEG BURGER/GRILL 180-454G,1,1,113.176,113.143,0.32,0.45,0.24
202206,212930,MAYONNAISE 390-500G/420-540MLS,1,1,123.965,123.208,0.45,0.6,0.36
202206,212933,ICE CREAM 450ML-1L,1,1,100.955,102.374,1.08,0.75,0.81
202206,212934,DRIED POTTED SNACK 50-120G,1,1,104.852,104.213,0.42,0.9,0.34
202206,212936,CHILLED READY MEAL-MEAT-SERVS1,1,1,110.689,110.76,0.8,1.95,0.64
202206,212937,CHILLED READY MEAL-FISH/VEG,1,1,110.106,110.402,0.75,1.8,0.6
202206,212938,CHOCOLATE COVERED ICE CREAM,1,1,106.771,105.269,0.96,0.75,0.72
202206,212939,CHILLED PIZZA EACH 300-600G,1,1,99.583,99.489,1.05,1.35,0.85
202206,212940,PROTEIN POWDER 900G-2KG,1,1,113.114,114.368,0.35,0.45,0.28
202206,212941,QUICHE 340G-450G,1,1,108.73,108.545,0.21,0.3,0.17
202206,212942,VEGETABLE CRISPS PACK 80-125G,1,1,111.603,112.932,0.32,0.15,0.24
202206,212943,YORKSHIRE PUDDING FROZEN,1,1,108.258,108.093,0.42,0.45,0.34
202206,212944,SAUSAGE MEAT FREE CHILLED PACK,1,1,112.201,112.781,0.64,0.75,0.48
202206,212945,HERBS DRIED JAR 3 - 20G,1,1,101.643,101.163,0.4,0.6,0.32
202206,213003,COFFEE-INSTANT 90 -100G JAR,1,1,107.832,107.777,0.78,1.12,0.78
202206,213005,HOT CHOCOLATE DRINK INSTANT,1,1,100.735,100.639,0.14,0.16,0.14
202206,213006,COFFEE PODS PACK 8-16,1,1,101.542,101.499,0.22,0.32,0.22
202206,213007,COFFEE SACHETS PACK,1,1,99.843,100.861,0.28,0.4,0.28
202206,220107,PUB -HOT MEAL,1,1,105.623,106.022,4.45,2.2,3.55
202206,220116,LEMONADE/COLA DRAUGHT,1,1,104.191,103.947,0.89,0.55,0.71
202206,220117,BOTTLED MINERAL WATER,1,1,102.86,102.666,0.89,0.55,0.71
202206,220120,IN STORE CAFETERIA MEAL,1,1,105.843,105.914,4.45,1.87,3.55
202206,220121,RESTAURANT CUP OF COFFEE,1,1,104.787,104.71,0.89,0.55,0.71
202206,220122,RESTAURANT - SWEET COURSE,1,1,103.989,103.955,2.67,1.1,2.13
202206,220123,ONBOARD CATERING,1,0,100.728,100.699,0.89,0.22,0.71
202206,220124,MUFFIN/INDIVIDUAL CAKE,1,1,105.096,105.182,2.67,1.21,2.13
202206,220125,FRUIT JUICE BOTTLE 250-350ML,1,1,101.984,101.816,0.89,0.55,0.71
202206,220128,RESTAURANT MAIN COURSE,1,1,105.362,105.136,4.45,2.2,3.55
202206,220208,STAFF RESTAURNT HOT SNACK ITEM,1,1,106.166,104.869,0.26,0.13,0.13
202206,220209,PRIMARY SCHOOL- FIXED CHARGE,1,1,100.548,100.526,0.74,0.37,0.37
202206,220210,SECONDARY SCHOOL- CAFETERIA,1,1,101.481,101.505,0.74,0.37,0.37
202206,220214,STAFF RESTAURANT MAIN COURSE,1,1,105.594,107.399,0.26,0.13,0.13
202206,220301,FISH & CHIPS TAKEAWAY,1,1,111.681,111.404,1.78,1.4,1.42
202206,220303,SANDWICH-TAKE-AWAY (COLD),1,1,105.588,104.974,3.56,1.96,2.84
202206,220305,TEA -TAKE-AWAY,1,1,104.178,104.798,0.89,0.14,0.71
202206,220310,POTATO CRISPS-INDIVIDUAL PACK,1,1,102.222,102.13,0.89,0.42,0.71
202206,220316,PIZZA TAKEAWAY OR DELIVERED,1,1,103.03,103.394,1.78,1.4,1.42
202206,220318,INDIAN TAKEAWAY,1,1,104.363,104.588,1.78,1.4,1.42
202206,220319,CHINESE TAKEAWAY,1,1,103.998,104.013,1.78,1.4,1.42
202206,220320,TAKEAWAY SOFT DRINK,1,1,104.562,104.756,0.89,0.14,0.71
202206,220321,TAKEAWAY COFFEE LATTE,1,1,106.459,106.394,0.89,0.14,0.71
202206,220323,KEBAB- TAKEAWAY,1,1,107.777,107.687,1.78,1.26,1.42
202206,220324,CINEMA POPCORN,1,1,101.026,101.064,0.89,0.28,0.71
202206,220325,VENDING MACHINE - SOFT DRINK,1,1,102.376,102.553,0.89,0.14,0.71
202206,220326,TAKEAWAY CHICKEN & CHIPS,1,1,108.019,108.266,1.78,1.26,1.42
202206,220327,T'AWAY COOKED SAVOURY PASTRY,1,1,104.667,104.68,1.78,1.4,1.42
202206,220328,BURGER IN A BUN EAT IN OR TAKE,1,1,107.306,106.908,1.78,1.26,1.42
202206,310102,DRAUGHT BITTER (PER PINT),1,1,102.967,103.485,3.56,1.52,2.84
202206,310104,DRAUGHT STOUT PER PINT,1,1,103.629,103.639,0.89,0.56,0.71
202206,310109,LAGER - PINT 3.4-4.2%,1,1,103.173,103.324,5.34,2.4,4.26
202206,310110,PREMIUM LAGER - PINT 4.3-7.5%,1,1,103.254,103.384,4.45,2,3.55
202206,310111,BOTTLED PREMIUM LAGER 4.3-7.5%,1,1,103.83,104.095,0.89,0.56,0.71
202206,310114,CIDER 4.5%-5.5% ABV PINT/BOTTL,1,1,103.09,103.121,1.78,0.96,1.42
202206,310207,BITTER-4CANS-440-500ML,1,1,103.986,103.689,0.98,0.54,0.84
