INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,ITEM_INDEX,ALL_GM_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
202302,210102,LGE LOAF-WHTE-UNSLED-750-800G,1,100.359,100.365,0.42,0.27,0.34
202302,210106,SIX BREAD ROLLS-WHITE/BROWN,1,102.523,102.262,0.84,0.45,0.68
202302,210111,WHITE SLICED LOAF BRANDED 750G,1,104.698,104.546,1.05,0.63,0.85
202302,210113,WHOLEMEAL SLICED LOAF BRANDED,1,101.793,101.809,0.84,0.54,0.68
202302,210114,CHILLED GARLIC BREAD,1,97.396,97.823,1.47,0.84,1.19
202302,210115,WRAP / TORTILLA PACK 6-8,1,103.066,103.081,0.42,0.27,0.34
202302,210201,FLOUR-SELF-RAISING-1.5KG,1,102.221,103.069,0.42,0.12,0.34
202302,210204,DRY SPAGHETTI OR PASTA 500G,1,99.773,100.463,0.21,0.36,0.17
202302,210211,CORN SNACK SINGLE PACK MAX 50G,1,102.662,102.159,0.45,0.24,0.39
202302,210212,BASMATI RICE 500G-1KG,1,101.172,101.427,0.42,0.36,0.34
202302,210213,BREAKFAST CEREAL 1,1,103.32,102.794,1.05,0.36,0.85
202302,210214,BREAKFAST CEREAL 2,1,103.855,103.185,1.68,0.6,1.36
202302,210215,CEREAL BAR,1,108.513,109.504,0.42,0.39,0.34
202302,210216,HOT OAT CEREAL,1,97.368,97.579,0.42,0.12,0.34
202302,210217,RICE MICRO POUCH/TRAY 220-280G,1,103.181,104.013,0.21,0.06,0.17
202302,210218,"POPCORN, BAG, 10-30G",1,100.811,101.451,0.63,0.27,0.51
202302,210219,BREAKFAST CEREAL GLUTEN FREE,1,102.881,102.956,0.21,0.09,0.17
202302,210221,COUSCOUS PLAIN/FLAVOURED,1,100.233,99.91,0.21,0.03,0.17
202302,210301,CREAM CRACKERS PACK 200G-300G,1,99.111,98.553,0.84,0.63,0.68
202302,210302,PLAIN BISCUITS-200-300G,1,102.527,102.329,1.47,1.33,1.19
202302,210320,WHOLE SPONGE CAKE NOT FROZEN,1,97.175,97.472,1.26,1.12,1.02
202302,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,106.036,106.776,2.31,2.03,1.87
202302,210323,BISCUITS HALF CHOC 260-400G,1,100.919,100.692,0.84,0.77,0.68
202302,210324,CRUMPETS PACK 6-9 SPEC NUMBER,1,103.923,104.038,1.26,1.12,1.02
202302,210403,HOME KILLED BEEF-LEAN MINCE KG,1,102.483,102.787,0.8,0.84,0.68
202302,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,100.294,100.193,1,1.23,0.85
202302,210414,FROZEN BEEFBURGERS PACK OF 4,1,101.653,101.659,0.4,0.45,0.34
202302,210416,BEEF ROASTING JOINT PER KG,1,102.264,102.464,0.4,0.48,0.34
202302,210506,HK LAMB LOIN CHOP/STEAK PER KG,1,101.188,100.981,1.8,1,1.53
202302,210703,HOME KILLED PORK-LOIN CHOPS KG,1,102.675,102.997,1,1,0.85
202302,210802,BACON-GAMMON-PER KG,1,101.057,101.182,0.4,0.18,0.34
202302,210808,BACON-BACK-PER KG,1,101.604,101.789,1.8,0.82,1.53
202302,210905,FRESH/CHILLED CHICKEN  PER KG,1,100.359,100.09,0.8,1.08,0.68
202302,210910,FRESH BONELESS CHICKEN BREAST,1,100.938,100.962,1.8,2.4,1.53
202302,210913,ROTISSERIE CHICKEN [WHOLE],1,105.856,106.023,0.2,0.2,0.17
202302,210914,FRESH TURKEY DICED/MIN PER KG,1,100.916,100.781,0.2,0.32,0.17
202302,211007,CANNED MEAT-STEWED STEAK,1,101.423,100.828,0.2,0.12,0.17
202302,211011,INDIVIDUAL MEAT PIE,1,99.871,100.289,1,0.84,0.85
202302,211014,SAUSAGES-PORK-PER KG,1,104.461,103.423,1.8,0.78,1.53
202302,211019,FROZ CHICKEN NUGGETS 220-600G,1,102.424,102.269,0.6,0.54,0.51
202302,211023,COOKED HAM PREPACKED SLICED,1,102.397,103.357,2.2,1.02,1.87
202302,211024,CONTINENTAL SLICED DELI MEAT,1,100.593,101.062,1,0.48,0.85
202302,211025,JOINT OV/READ GAM/POR 450-900G,1,99.363,99.052,0.2,0.12,0.17
202302,211026,CHICKEN KIEV 2 PACK 240-325G,1,103.478,103.409,0.6,0.54,0.51
202302,211027,H K LIVER PER KG STATE TYPE,1,100.752,100.738,0.2,0.06,0.17
